Indicators,Min,Max,Mean,Stdev,Quantile0.25,Quantile0.5,Quantile0.75
HV,20.3350177,22.5733361157,21.357264445233337,1.1316772546741036,20.749228610000003,21.16343952,21.86838781785
ONVG,7,11,9.666666666666666,2.3094010767585034,9.0,11.0,11.0
SPACING,0.030100573098082943,0.2842050269571306,0.11618944180296631,0.14552064636632112,0.03218164922588415,0.03426272535368535,0.159233876155408
SPREAD,0.1368625053210247,0.4001902859874531,0.22700333798195804,0.1500262409481866,0.14040986397921051,0.14395722263739635,0.27207375431242475
MAXIMUMSPREAD,2.015338220768197,3.812765389433401,2.7571960648421636,0.9388808638055237,2.229411402546545,2.4434845843248927,3.128124986879147
ONVGR,0.3684210526315789,0.5789473684210527,0.5087719298245614,0.12154742509255283,0.4736842105263158,0.5789473684210527,0.5789473684210527
ERRORRATIO,1.0,1.0,1.0,0.0,1.0,1.0,1.0
MAXPFError,1.6057579841967964,3.8134389153864854,2.8010983762956188,1.115159398084123,2.294928106750186,2.9840982293035756,3.3987685723450305
GD,0.25685885192980523,0.7818224078105594,0.5275074226191813,0.26286265094561595,0.4003499300234922,0.5438410081171791,0.6628317079638693
IGD,0.03685781321324323,0.22595239189348892,0.12216304854067055,0.0958928391939964,0.07026837686426135,0.10367894051527948,0.1648156662043842
D1R,-0.6350538134337435,-0.0905713485092016,-0.3677640028003785,0.2723762808817235,-0.5063603299459669,-0.37766684645819043,-0.23411909748369603
M1,0.652613946463298,2.2199577523005805,1.3644602337889775,0.7934849769151574,0.9367114745331762,1.2208090026030542,1.7203833774518174
