Total time (s),Time-O1 (s),Time-O2 (s),v1,v2,v3,v4,v5,v6,O1,O2
18.48300004,18.48099995,0.002000093,-2.5067572,11.19412574,2.210543752,4.372580232,-2.784609768,12.35917219,1.319499796,-15.67006997
18.41300011,18.41100001,0.002000093,-0.522538073,4.432766044,-1.325395163,5.629274321,-2.088482454,6.447760974,1.285703854,-14.25095854
18.54399991,18.54199982,0.002000093,-0.575910387,10.92229911,0.052215821,5.294028253,-0.541690413,3.080156997,1.366069485,-8.357716676
18.44700003,18.44500017,0.001999855,-0.185252115,5.890860484,0.540947124,0.760634614,-2.397809696,1.550487836,1.469600532,-19.91290328
18.24600005,18.24300003,0.003000021,3.008177011,6.606307423,-2.627285368,7.936769949,-0.593423176,2.550172899,1.399795868,-19.89125581
18.42000008,18.41799998,0.002000093,-0.404644578,11.78329937,-1.060658938,9.392985736,2.770651702,12.33496173,1.247284239,-20.00476815
18.50899982,18.50699997,0.001999855,-2.564632742,6.188316213,-1.303034318,5.559511284,1.619441349,7.228844392,1.095457895,-19.9500533
18.82800007,18.82599998,0.002000093,-0.624443947,1.683126579,-0.169466031,9.208125026,-0.901861372,7.105952628,1.344518124,-8.773337738
18.53200006,18.53000021,0.001999855,-2.808982021,7.733970414,-3.091789126,0.717270721,-0.926358487,8.598776611,1.25679483,-19.34319802
18.34800005,18.34500003,0.003000021,2.292900221,4.254086377,-0.22976349,2.569682054,-0.632710066,0.691414177,1.436866821,-20.20014606
18.98900008,18.98699999,0.002000093,2.47406065,3.061592405,2.547701801,4.691478444,-2.841607859,0.580478074,1.323748466,-9.627393184
18.71300006,18.71099997,0.002000093,0.690785381,2.262420562,-1.493114107,11.88850459,3.037416673,9.346683944,1.260044286,-20.19265048
18.56500006,18.56299996,0.002000093,2.300653738,10.86881635,-0.520750058,5.93007962,-0.225913615,6.261842526,1.391045276,-20.35255068
18.56099987,18.55900002,0.001999855,-1.754587672,9.080860829,0.582416582,8.57830423,-1.523008255,8.261298109,1.178273376,-18.41016397
