Total time (s),Time-O1 (s),Time-O2 (s),v1,v2,v3,v4,v5,v6,O1,O2
13.23699999,12.96000004,0.253999949,2.801414859,12.15555744,-0.061082528,2.151391851,-0.092314361,11.79169696,1.406006436,-22.18883376
8.687999964,8.687999964,0,0.565985915,12.28224576,2.332627084,4.669780582,-1.712608229,12.54083548,1.241716699,-19.63934817
8.388999939,8.388999939,0,-2.139637071,2.503826313,0.059506287,11.26549592,-0.153469097,1.975686676,1.41385963,-19.85770672
8.30099988,8.299999952,0.000999928,1.944886691,4.472684732,0.680270255,8.712158642,0.569102475,3.752925069,1.323206596,-12.71858368
8.317000151,8.317000151,0,-0.50822269,1.196989344,-2.983398142,4.952632168,-1.213609623,3.446238905,1.342319662,-19.26948761
8.253999949,8.253999949,0,2.558194387,11.17837298,-1.562985124,2.413758424,-0.772886965,7.305376851,1.242662466,-20.28349657
8.325999975,8.325999975,0,0.163685514,11.68380597,1.004936743,3.213041059,-0.616223404,8.211821157,1.201273331,-15.33154619
8.345000029,8.343999863,0.001000166,-2.013390934,12.37315169,1.427496111,6.070100993,1.013382984,5.954422633,1.219936091,-20.97339258
8.266000032,8.265000105,0.000999928,-1.267423392,3.45547411,1.253803427,7.669949175,-1.494834878,2.908580729,1.090578835,-20.18482085
8.154000044,8.153000116,0.000999928,-2.168148306,5.322347553,2.415320429,4.763035658,-0.974792377,0.23529208,1.351542594,-20.35573526
8.197000027,8.197000027,0,0.258454688,5.551878985,0.023517079,11.00844327,0.138164606,3.426516983,1.402453774,-7.668022732
8.220999956,8.220000029,0.000999928,-1.098451458,5.436658559,-2.772268242,8.740680093,1.009683224,1.2209653,1.183282145,-20.41867762
8.266000032,8.264999866,0.001000166,3.108165522,3.0922636,0.604856712,1.49862876,0.976709985,12.38217588,1.346202138,-19.81543314
8.261000156,8.261000156,0,-0.422647777,1.522695671,1.821144395,4.683343953,-1.142788106,1.862632433,1.294252996,-20.11985074
