Total time (s),Time-O1 (s),Time-O2 (s),v1,v2,v3,v4,v5,v6,O1,O2
43.71499991,43.71299982,0.002000093,1.64360541,10.32302106,0.717347363,4.627321491,-2.080277978,3.479553436,1.309796475,-20.34389503
13.31200004,13.30999994,0.002000093,-1.795849387,9.248586464,2.573479577,2.006063819,-1.357254886,7.516010882,1.21625397,-19.26786059
12.83500004,12.83400011,0.000999928,0.561450787,11.02333753,-0.965864553,2.376350839,2.446356784,10.80211578,1.212568564,-21.53402234
13.28999996,13.2889998,0.001000166,-1.506906541,6.317763309,1.017628518,5.289522913,0.83100604,7.804298989,1.095531491,-19.08334857
13.97600007,13.97500014,0.000999928,0.255900769,8.863086886,-2.645137549,11.91387603,2.705557523,5.593432272,1.351881476,-20.08851727
12.83100009,12.83000016,0.000999928,1.827595166,9.77154222,1.68697873,10.49439733,-1.857286461,11.17462321,1.241115341,-19.60780716
12.75099993,12.75,0.000999928,3.052756223,12.11732346,-2.779871174,9.037175537,2.054496517,4.343286635,1.300829125,-14.06048728
12.84899998,12.84699988,0.002000093,1.49735911,10.92052663,1.18754614,10.63496715,-2.683550061,10.98565618,1.236002817,-18.68753753
12.85299993,12.852,0.000999928,-1.314741939,9.374018003,0.214539119,5.906790081,2.949702578,8.964773502,1.27593352,-19.82571382
12.83899999,12.83800006,0.000999928,-0.628295595,4.100718807,-2.190393261,10.38214772,1.493851862,7.549094684,1.215754355,-19.47548656
12.75099993,12.75,0.000999928,2.282581764,8.68641535,-2.612925695,9.433182076,1.549182777,5.577255186,1.209651702,-17.87326053
12.84399986,12.84299994,0.000999928,-1.222551165,0.580206675,-0.104289348,10.61057272,-1.170967514,9.993859437,1.301547689,-14.59996499
12.72399998,12.72300005,0.000999928,-2.398601669,7.496293098,-2.797321488,3.473893921,-0.71721801,4.916250675,1.336463469,-17.3088094
12.74000001,12.73900008,0.000999928,2.846953068,3.970243252,2.286607189,9.029096878,-0.270486834,9.297697186,1.331766846,-20.69597624
12.66199994,12.66000009,0.001999855,1.356908516,9.875208791,2.367339761,3.638588728,-2.052686861,8.776295091,1.224180607,-19.85114489
12.94000006,12.9380002,0.001999855,2.398219623,4.028709631,0.861253051,3.521725758,3.032308605,11.56894584,1.333932504,-19.4352523
12.83800006,12.77100015,0.066999912,2.825823221,12.44841554,0.822966392,10.81780776,0.80700482,11.3767542,1.247369705,-16.96423271
12.68200016,12.68000007,0.002000093,0.099326237,8.858853103,-1.59435383,8.16009846,2.330251844,8.533436169,1.271510883,-18.49047443
12.852,12.85099983,0.001000166,1.698082947,8.52014275,-0.394611843,8.516869621,1.606300677,6.859580563,1.220101473,-17.31200056
12.80999994,12.80799985,0.002000093,-3.065963915,8.109491414,-2.455240614,0.567053986,2.952188585,2.363081682,1.329728282,-9.64581115
12.76800013,12.76600003,0.002000093,-1.061711494,3.743981291,-2.23436702,8.87682724,2.610288709,8.336412469,1.279162039,-19.83962242
12.98699999,12.98599982,0.001000166,1.7169251,9.014192829,-0.55802399,8.70848678,0.360365189,0.281824595,1.258700367,-18.15409382
12.93400002,12.93199992,0.002000093,1.459510929,2.091441099,-2.984701142,11.84782046,-1.483586491,10.01060728,1.136240754,-21.41929217
12.90299988,12.90199995,0.000999928,0.658255368,3.597186386,-1.364022025,3.790364324,2.381242236,12.03950775,1.222338833,-20.80143624
12.90699983,12.9059999,0.000999928,1.72311103,8.15701856,-2.290591736,8.053539318,0.824074513,6.667816552,1.248859439,-20.04614
12.89199996,12.89100003,0.000999928,-0.020229492,9.585978147,0.214539119,8.174184688,2.949702578,8.964773502,1.355063942,-19.9360575
12.77499986,12.77399993,0.000999928,-1.195186211,10.08432411,-1.59435383,5.892703853,1.838904032,7.894969126,1.110942184,-20.09076183
12.96600008,12.96399999,0.002000093,-1.496781649,7.496293098,-2.797321488,3.473893921,-0.71721801,7.81321097,1.233885755,-17.78606652
12.96099997,12.96000004,0.000999928,-2.408726557,6.317763309,1.497952396,5.289522913,0.83100604,3.423444578,1.277386223,-20.18451656
12.91700006,12.91600013,0.000999928,0.658255368,2.770395317,-1.364022025,3.790364324,2.381412096,12.03950775,1.232336529,-20.80097263
12.93799996,12.9369998,0.001000166,0.561450787,11.32801995,-0.965864553,2.376350839,2.446186924,10.80211578,1.20947844,-21.53423315
12.84800005,12.84699988,0.001000166,1.956821938,11.02333753,-0.963413765,2.376350839,2.314384788,10.80535911,1.299821219,-21.67695697
12.87199998,12.87100005,0.000999928,0.432224001,9.77154222,1.801496442,11.07224179,-1.857286461,11.17137988,1.267992926,-19.33525797
12.91400003,12.91300011,0.000999928,1.43229011,3.597186386,-1.364022025,3.953394685,2.381242236,12.0535563,1.09306622,-20.74280599
13.11600018,13.11500001,0.001000166,0.685476187,2.091441099,-2.984701142,11.67589842,-1.483586491,10.01060728,1.238142767,-21.55379693
12.84500003,12.84299994,0.002000093,1.485364622,9.560120057,-1.59435383,11.03763681,2.330251844,8.533436169,1.142942716,-20.04495787
12.95899987,12.95700002,0.001999855,-0.075646107,2.188116234,-2.984701142,8.404119726,-1.515225319,10.01060728,1.328018926,-20.81479396
12.97900009,12.97800016,0.000999928,-0.628295595,4.100718807,-2.190393261,10.38214772,1.493851862,7.549094684,1.215754355,-19.47548656
13.01900005,13.01699996,0.002000093,-2.63236663,7.496293098,-2.951982311,3.473893921,-0.71721801,5.701476017,1.32217124,-18.11660727
13.25699997,13.25600004,0.000999928,0.561450787,11.02333753,-1.162702725,2.376350839,2.446356784,10.98560691,1.187843189,-21.27585065
12.99099994,12.99000001,0.000999928,1.49735911,10.92052663,1.18754614,10.8464139,-2.683550061,10.80216505,1.23637031,-18.68429913
13.17200017,13.171,0.001000166,1.356908516,9.875208791,2.367339761,3.638588728,-2.127430573,8.776295091,1.232426065,-19.73764559
13.07500005,13.07399988,0.001000166,-1.314741939,9.374018003,0.4803695,5.906790081,2.978374534,9.875117174,1.232022036,-19.38394279
13.18600011,13.18400002,0.002000093,-1.222551165,3.66832895,-0.104289348,10.61057272,-1.170967514,11.25277931,1.213033615,-12.67854421
13.02200007,13.02099991,0.001000166,0.658255368,0.509920355,-1.364022025,3.790364324,2.569397007,12.03950775,1.248654109,-20.21281081
13.15799999,13.15700006,0.000999928,2.779273689,10.6597107,0.745081997,4.603898654,-2.080277978,3.479553436,1.325558519,-19.7824898
12.91600013,12.91400003,0.002000093,1.71125641,1.620975178,2.258872376,9.052519695,-0.270486834,9.297697186,1.300428147,-19.07179629
13.42999983,13.42799997,0.001999855,-1.506906541,6.317763309,1.017628518,5.289522913,0.83100604,7.976834933,1.094208677,-19.08334857
12.98100019,12.98000002,0.001000166,0.561450787,11.02333753,-0.540768412,2.376350839,2.446356784,10.62957967,1.290484792,-21.58088291
13.21499991,13.21399999,0.000999928,0.967472,3.597186386,-1.364022025,4.345771478,2.381242236,12.03950775,1.145454215,-20.58749524
13.14499998,13.14399981,0.001000166,1.030885637,3.597186386,-1.678966643,3.790364324,2.313268599,12.03950775,1.207008802,-19.99871037
13.24300003,13.24099994,0.002000093,1.43229011,3.597186386,-1.364022025,3.953394685,2.381242236,12.0535563,1.09306622,-20.74280599
13.2809999,13.27999997,0.000999928,0.658255368,3.597186386,-1.364022025,3.790364324,2.381242236,12.03950775,1.222338833,-20.80143624
13.2670002,13.26600003,0.001000166,-0.04294617,6.317763309,1.017628518,7.944561674,0.83100604,7.972582373,1.293677284,-10.24560096
13.23799992,13.23600006,0.001999855,-1.539606478,2.188116234,-2.984701142,5.299954041,-1.515225319,10.01060728,1.273883986,-14.21129153
13.28400016,13.28299999,0.001000166,-0.075646107,2.764347097,-2.984701142,8.404119726,2.321502308,9.263641646,1.437736176,-20.65003592
13.47600007,13.47399998,0.002000093,0.658255368,2.194164454,-1.364022025,3.790364324,-1.455615648,11.88882533,1.196918662,-19.93340409
13.10399985,13.10299993,0.000999928,1.459510929,2.091441099,-3.012696283,11.84782046,-1.216662472,10.01060728,1.133443114,-21.01047096
13.12700009,13.12600017,0.000999928,-1.506906541,5.778009178,1.017628518,5.289522913,0.56408204,7.976834933,1.114081429,-19.06188693
13.10400009,13.10299993,0.001000166,-0.765134809,4.100718807,-2.190393261,10.38214772,2.148126044,7.549094684,1.322472439,-20.1668135
13.3599999,13.35800004,0.001999855,0.795094582,0.41206497,-1.364022025,3.790364324,1.48648995,12.03950775,1.204164985,-21.43910507
13.26900005,13.26800013,0.000999928,2.846953068,3.970243252,2.286607189,9.029096878,2.218503361,9.297697186,1.317638586,-8.160501739
13.28600001,13.28500009,0.000999928,0.658255368,2.770395317,-1.364022025,3.790364324,-0.256802557,12.03950775,1.184283239,-16.97940142
13.17800021,13.17700005,0.001000166,0.685476187,2.091441099,-2.984701142,11.67589842,-1.361658538,10.01060728,1.230314612,-21.55379693
13.39599991,13.39599991,0,0.561450787,11.02333753,-0.865169305,2.379343535,2.323978912,10.98560691,1.231811096,-21.76790433
13.12799978,13.12699986,0.000999928,-1.672754778,6.756005281,1.017628518,5.2769433,1.278358783,10.73573688,1.120686348,-20.30322615
13.26799989,13.26699996,0.000999928,0.727299222,10.88967346,-0.965864553,2.376350839,1.532111796,8.043213736,1.132485392,-19.80150273
