Total time (s),Time-O1 (s),Time-O2 (s),v1,v2,v3,v4,v5,v6,O1,O2
23.18400002,23.18099999,0.003000021,-1.169380671,8.643066132,0.654259012,2.761381139,2.729735086,0.855322444,1.215679021,-20.14837429
23.56100011,23.55800009,0.003000021,-0.068960007,1.456277348,2.994710801,2.350157591,-2.255666938,3.545605828,1.437700838,-20.00480311
23.93000007,23.92700005,0.003000021,-2.755124635,5.967265522,2.837042538,7.289934767,0.642832976,10.42370894,1.271412914,-20.33035922
24.01900005,24.01600003,0.003000021,1.283974297,2.767069916,0.290797238,10.19722673,1.861115525,2.964659938,1.247905058,-15.88125985
23.39100003,23.38800001,0.003000021,-0.105404413,6.548411902,-2.138651426,2.157011372,-1.495196239,0.912622628,1.341531036,-17.56453648
26.32499981,26.32200003,0.002999783,-0.073781407,2.035539615,1.833623053,11.58310655,1.101963355,10.3967933,1.301745194,-18.90009341
23.88899994,23.87899995,0.00999999,-3.050499769,10.01872477,0.067161755,1.289223022,-1.150371178,1.543996825,1.381485027,-21.82079132
23.29999995,23.29699993,0.003000021,-1.01498227,1.936166907,-0.608317075,6.55934059,-2.663559088,10.02249718,1.325202093,-17.46817202
23.81900001,23.81599998,0.003000021,-2.730328124,8.663828785,-0.143910423,11.88301569,-2.75689552,9.977080038,1.30373278,-19.50191816
23.3599999,23.35699987,0.003000021,-1.67027564,6.532659233,0.085901626,6.238576858,-0.569980047,9.760006432,1.260464459,-15.39320227
23.38400006,23.38100004,0.003000021,-0.398315524,8.089680228,-0.784799073,1.956882117,0.17156342,6.623761941,1.381614827,-10.31894216
23.63499999,23.6329999,0.002000093,2.720785568,11.8238054,1.783064936,8.232770813,0.694313757,4.141158215,1.318865732,-18.62892543
23.26200008,23.25999999,0.002000093,-0.70828625,9.860192592,-0.133921301,8.476950365,-1.763021592,7.75838032,1.258670573,-14.56607464
23.36100006,23.35800004,0.003000021,2.044338,7.497344442,0.651472583,0.969857428,-1.420101282,10.20529647,1.229460946,-19.92486457
23.36599994,23.36299992,0.003000021,1.23559637,10.79885113,1.439730639,2.692005479,-0.615340026,12.08882058,1.104078356,-19.52980764
23.27900004,23.27600002,0.003000021,-0.971066847,5.054082306,1.807398769,10.05506754,-2.595084419,9.092410151,1.211712942,-20.29699456
23.18600011,23.18300009,0.003000021,0.782931264,6.299925584,2.447134151,9.49822823,0.821953656,9.452802515,1.269748404,-15.12888954
23.35600019,23.35300016,0.003000021,-0.792628425,9.260967669,-1.649474386,10.09267066,0.291453641,9.884287524,1.237818177,-16.50427419
23.72100019,23.71800017,0.003000021,-2.703253372,8.382683792,-1.881718863,2.555499167,-1.675822011,6.532690248,1.276991915,-10.00093141
23.91599989,23.91299987,0.003000021,-0.499681343,12.51540149,-0.433904204,4.547964188,3.018679565,5.190569526,1.339486113,-20.96723311
23.39300013,23.3900001,0.003000021,2.605311562,10.86426201,-3.121851228,0.682478663,1.426351195,12.02239743,1.262738522,-19.00746522
23.26099992,23.2579999,0.003000021,-0.667552802,5.918034865,1.896453512,2.957413745,-1.7563108,3.521038127,1.260501833,-19.39901721
24.99399996,24.99199986,0.002000093,0.890870996,7.347201191,-2.003976921,6.116770769,-0.074240815,8.669295812,1.271542775,-19.88608784
23.7809999,23.77800012,0.002999783,-1.530094323,5.116510163,-1.534430738,11.85769195,-0.84541032,8.998447602,1.177835712,-7.755362786
23.30500007,23.30299997,0.002000093,0.770694993,6.001108367,-1.93499148,5.469673401,0.104281414,8.059329326,1.296612995,-19.53407234
23.5480001,23.54500008,0.003000021,-0.073781407,2.035539615,1.833623053,11.58310655,1.101963355,10.3967933,1.301745194,-18.90009341
23.74000001,23.73699999,0.003000021,-0.398315524,8.089680228,-0.603350666,1.956882117,0.17156342,6.623761941,1.398370954,-8.8816405
23.46799994,23.46600008,0.001999855,-0.726134468,7.892999952,-1.93499148,5.469673401,0.048978626,8.651650198,1.287965931,-17.04196548
23.61299992,23.6099999,0.003000021,1.283974297,2.767069916,0.214757705,10.19722673,1.916418241,2.964659938,1.252216928,-16.68556935
23.22900009,23.22600007,0.003000021,-2.730328124,8.663828785,-0.143910423,11.21667001,-2.75689552,9.977080038,1.312448547,-19.40305764
23.81599998,23.81299996,0.003000021,2.720785568,11.8238054,1.247040786,8.232770813,0.694313757,4.141158215,1.285955644,-18.62892543
23.40400004,23.40100002,0.003000021,-1.67027564,6.532659233,0.085901626,6.238576858,-0.569980047,8.698850087,1.278346771,-15.39320227
23.62400007,23.62199998,0.002000093,-2.730328124,8.663828785,-0.143910423,11.88301569,-2.75689552,9.856012029,1.303709392,-19.50191816
23.38800001,23.38599992,0.002000093,-0.792628425,9.260967669,-1.649474386,10.34418393,0.291453641,9.884287524,1.239721182,-16.50936546
23.59500003,23.59200001,0.003000021,-0.105404413,6.548411902,-2.138651426,1.757715878,-1.495196239,0.912622628,1.341492929,-17.66859676
24.13699985,24.13400006,0.002999783,-1.67027564,6.532659233,-0.130560273,6.238576858,-0.569980047,9.760006432,1.267533649,-13.9237672
23.46099997,23.45899987,0.002000093,2.411465781,8.643066132,0.654259012,2.761381139,2.729735086,0.855322444,1.388406095,-17.33027661
23.56900001,23.56599998,0.003000021,-1.537289676,7.497344442,0.651472583,2.697877471,-1.420101282,10.20529647,1.188051159,-18.77186431
23.63499999,23.63199997,0.003000021,-0.398315524,8.089680228,-0.784799073,2.383044336,0.17156342,6.623761941,1.374192804,-10.13333537
23.46399999,23.4610002,0.002999783,-0.792628425,9.260967669,-1.870475712,10.09267066,0.291453641,9.884287524,1.241184666,-17.64947172
23.37699986,23.37399983,0.003000021,-0.398315524,8.089680228,-0.784799073,2.197098182,0.17156342,9.025934796,1.354053438,-11.4600964
23.98000002,23.977,0.003000021,-2.730328124,8.657802134,-0.143910423,11.62420334,-2.801847225,9.977080038,1.306860402,-19.4877699
23.97000003,23.96700001,0.003000021,-0.105404413,7.561238365,-2.138651426,2.153185259,-1.495196239,3.4919304,1.265317298,-17.84588416
23.44099998,23.43799996,0.003000021,-0.384753431,5.918034865,1.896453512,2.961239858,-1.7563108,0.941738564,1.25547529,-19.45540469
23.58200002,23.579,0.003000021,-0.105404413,6.548411902,-0.087047754,8.687628699,-1.617683571,0.902120703,1.303190908,-15.89289752
23.93000007,23.92700005,0.003000021,-0.70828625,9.860192592,-2.185523401,1.988096715,-1.763021592,7.771621855,1.254231774,-15.59760703
